 num     #instances         #bytes  class name (module)
 138:           187           2992  sun.security.x509.KeyIdentifier (java.base@17.0.17)
 139:            56           2856  [Ljava.lang.reflect.Method; (java.base@17.0.17)
 140:           115           2760  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.17)
 141:           171           2736  java.util.HashMap$EntrySet (java.base@17.0.17)
 142:            68           2720  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.17)
 143:           112           2688  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.17)
 144:            30           2640  java.util.regex.Pattern (java.base@17.0.17)
 145:           161           2576  java.util.WeakHashMap$KeySet (java.base@17.0.17)
 146:           107           2568  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.17)
 147:            64           2560  java.security.CodeSource (java.base@17.0.17)
 148:           160           2560  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@17.0.17)
 149:           158           2528  sun.security.x509.SerialNumber (java.base@17.0.17)
 150:            62           2480  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.17)
 151:           103           2472  [[C (java.base@17.0.17)
 152:            39           2464  [Lorg.apache.jena.graph.Triple;
 153:            61           2440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.17)
 154:           151           2416  javax.security.auth.x500.X500Principal (java.base@17.0.17)
 155:           149           2384  sun.security.x509.CertificateAlgorithmId (java.base@17.0.17)
 156:           149           2384  sun.security.x509.CertificateSerialNumber (java.base@17.0.17)
 157:           149           2384  sun.security.x509.CertificateVersion (java.base@17.0.17)
 158:           149           2384  sun.security.x509.CertificateX509Key (java.base@17.0.17)
 159:            97           2328  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.17)
 160:            72           2304  java.lang.ref.WeakReference (java.base@17.0.17)
 161:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.17)
 162:            68           2176  java.security.AlgorithmParameters (java.base@17.0.17)
 163:            15           2160  [Ljava.lang.invoke.MemberName; (java.base@17.0.17)
 164:            89           2136  java.security.spec.ECPoint (java.base@17.0.17)
 165:            53           2120  java.io.ObjectStreamField (java.base@17.0.17)
 166:            53           2120  sun.security.util.NamedCurve (java.base@17.0.17)
 167:           128           2048  java.lang.Character (java.base@17.0.17)
 168:            93           2024  [Ljava.util.Map$Entry; (java.base@17.0.17)
 169:            42           2016  ch.qos.logback.classic.Logger
 170:            83           1992  java.lang.RuntimePermission (java.base@17.0.17)
 171:            83           1992  jdk.internal.net.http.hpack.SimpleHeaderTable$HeaderField (java.net.http@17.0.17)
 172:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.17)
 173:            34           1904  sun.security.ssl.NamedGroup (java.base@17.0.17)
 174:            63           1888  [Lorg.apache.jena.iri.impl.ViolationCodeInfo$InSpec;
 175:            37           1776  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.17)
 176:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.17)
 177:           106           1696  org.apache.jena.sparql.util.Symbol
 178:            70           1680  java.util.regex.Pattern$Slice (java.base@17.0.17)
 179:            69           1656  org.apache.jena.atlas.web.MediaType
 180:            41           1640  java.security.ProtectionDomain (java.base@17.0.17)
 181:            41           1640  sun.security.x509.AuthorityKeyIdentifierExtension (java.base@17.0.17)
 182:            33           1584  java.time.temporal.ValueRange (java.base@17.0.17)
 183:            66           1584  java.util.ImmutableCollections$ListN (java.base@17.0.17)
 184:            98           1568  org.apache.jena.sparql.function.FunctionFactoryAuto
 185:            39           1560  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.17)
 186:            48           1536  java.util.ImmutableCollections$Map1 (java.base@17.0.17)
 187:            62           1488  java.lang.module.ResolvedModule (java.base@17.0.17)
 188:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.17)
 189:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.17)
 190:             2           1480  [[B (java.base@17.0.17)
 191:             1           1464  [Ljava.lang.Character$UnicodeBlock; (java.base@17.0.17)
 192:            16           1448  [Ljava.lang.Byte; (java.base@17.0.17)
 193:            60           1440  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.17)
 194:            45           1440  java.util.logging.LogManager$LogNode (java.logging@17.0.17)
 195:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.17)
 196:            22           1408  sun.security.ssl.SignatureScheme (java.base@17.0.17)
 197:            18           1400  [Lorg.apache.jena.mem.TripleBunch;
 198:            35           1400  sun.security.ec.ECPublicKeyImpl (jdk.crypto.ec@17.0.17)
 199:            37           1392  [Ljava.util.regex.Pattern$Node; (java.base@17.0.17)
 200:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.17)
 201:             1           1368  [Lsun.security.ssl.CipherSuite; (java.base@17.0.17)
 202:            57           1368  java.util.regex.Pattern$GroupHead (java.base@17.0.17)
 203:            57           1368  java.util.regex.Pattern$GroupTail (java.base@17.0.17)
 204:             2           1320  [Ljava.time.LocalDateTime; (java.base@17.0.17)
 205:            18           1296  java.lang.reflect.Field (java.base@17.0.17)
 206:            40           1280  [Ljava.math.BigInteger; (java.base@17.0.17)
 207:            40           1280  org.apache.jena.iri.impl.ViolationCodeInfo$FromSpec_iri
 208:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.17)
 209:            39           1248  java.util.PropertyPermission (java.base@17.0.17)
 210:            30           1200  java.time.temporal.ChronoField (java.base@17.0.17)
 211:            30           1200  java.util.WeakHashMap$Entry (java.base@17.0.17)
 212:            37           1184  java.util.regex.Pattern$Branch (java.base@17.0.17)
 213:            29           1160  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.17)
 214:            16           1152  org.apache.jena.iri.impl.LexerXHost
 215:             2           1136  [Lsun.security.util.KnownOIDs; (java.base@17.0.17)
 216:            69           1104  org.apache.jena.atlas.web.ContentType
 217:            45           1080  java.util.regex.Pattern$$Lambda$20/0x80000002a (java.base@17.0.17)
 218:            15           1080  sun.security.ssl.SSLCipher (java.base@17.0.17)
 219:             1           1040  [Ljava.lang.Integer; (java.base@17.0.17)
 220:             1           1040  [Ljava.lang.Long; (java.base@17.0.17)
 221:             1           1040  [Ljava.lang.Short; (java.base@17.0.17)
 222:            42           1008  org.apache.jena.ext.xerces.util.SymbolHash$Entry
 223:            29            992  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.17)
 224:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.17)
 225:            62            992  java.util.regex.Pattern$$Lambda$19/0x800000029 (java.base@17.0.17)
 226:            41            984  java.lang.Class$AnnotationData (java.base@17.0.17)
 227:            42            968  [Lsun.security.ssl.ProtocolVersion; (java.base@17.0.17)
 228:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.17)
 229:            30            960  org.apache.jena.riot.Lang
 230:            60            960  sun.security.util.ECParameters (java.base@17.0.17)
 231:            39            936  java.util.concurrent.atomic.AtomicLong (java.base@17.0.17)
 232:            23            920  ch.qos.logback.core.status.InfoStatus
 233:            28            896  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@17.0.17)
 234:            27            864  java.util.Locale (java.base@17.0.17)
 235:            36            864  org.apache.jena.mem.ArrayBunch
 236:            27            864  sun.util.locale.BaseLocale (java.base@17.0.17)
 237:            15            840  java.util.logging.Logger (java.logging@17.0.17)
 238:            35            840  org.apache.jena.graph.Triple
 239:            21            840  sun.security.ssl.SSLHandshake (java.base@17.0.17)
 240:            26            832  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.17)
 241:            13            832  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@17.0.17)
 242:            34            816  java.util.regex.Pattern$$Lambda$15/0x000000c80104df50 (java.base@17.0.17)
 243:            25            800  org.apache.commons.lang3.JavaVersion
 244:            25            800  sun.security.x509.URIName (java.base@17.0.17)
 245:            19            792  [Ljava.lang.invoke.MethodType; (java.base@17.0.17)
 246:            33            792  java.util.regex.Pattern$$Lambda$22/0x800000032 (java.base@17.0.17)
 247:            49            784  java.util.regex.Pattern$BitClass (java.base@17.0.17)
 248:            32            768  java.lang.ProcessEnvironment$Value (java.base@17.0.17)
 249:            32            768  java.lang.ProcessEnvironment$Variable (java.base@17.0.17)
 250:            16            768  org.apache.jena.ext.xerces.impl.dv.xs.DecimalDV$XDecimal
 251:            24            768  sun.security.x509.OIDMap$OIDInfo (java.base@17.0.17)
 252:            19            760  java.security.AccessControlContext (java.base@17.0.17)
 253:             4            744  [Ljava.time.ZoneOffset; (java.base@17.0.17)
 254:            31            744  java.security.Provider$EngineDescription (java.base@17.0.17)
 255:            30            720  java.security.Permissions (java.base@17.0.17)
 256:             9            720  jdk.internal.reflect.DelegatingClassLoader (java.base@17.0.17)
 257:            18            720  org.apache.jena.mem.HashedBunchMap
 258:            11            704  java.nio.DirectByteBuffer (java.base@17.0.17)
 259:            29            696  java.lang.invoke.Invokers (java.base@17.0.17)
 260:            29            696  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@17.0.17)
 261:            29            696  org.apache.jena.riot.RDFFormat
 262:            17            680  java.time.format.DateTimeFormatter (java.base@17.0.17)
 263:            12            672  java.nio.HeapByteBuffer (java.base@17.0.17)
 264:             6            656  [D (java.base@17.0.17)
 265:            41            656  [Ljava.security.Principal; (java.base@17.0.17)
 266:            41            656  java.security.ProtectionDomain$Key (java.base@17.0.17)
 267:             9            648  java.util.regex.Matcher (java.base@17.0.17)
 268:            27            648  sun.security.provider.PolicyFile$PolicyEntry (java.base@17.0.17)
 269:            20            640  java.util.Hashtable$Entry (java.base@17.0.17)
 270:            16            640  java.util.logging.Logger$ConfigurationData (java.logging@17.0.17)
 271:            40            640  sun.security.x509.GeneralName (java.base@17.0.17)
 272:            16            640  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.17)
 273:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.17)
 274:            13            624  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.17)
 275:            26            624  java.security.spec.ECFieldF2m (java.base@17.0.17)
 276:            26            624  java.time.LocalTime (java.base@17.0.17)
 277:            11            616  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17.0.17)
 278:            38            608  java.lang.constant.ReferenceClassDescImpl (java.base@17.0.17)
 279:            21            600  [Ljava.io.ObjectStreamField; (java.base@17.0.17)
 280:            25            600  java.util.regex.Pattern$$Lambda$16/0x000000c80104e1b0 (java.base@17.0.17)
 281:            25            600  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.17)
 282:            37            592  java.util.regex.Pattern$BranchConn (java.base@17.0.17)
 283:            18            576  java.util.Collections$UnmodifiableMap (java.base@17.0.17)
 284:            12            576  jdk.xml.internal.XMLSecurityManager$Limit (java.xml@17.0.17)
 285:             8            576  org.apache.jena.iri.impl.LexerFragment
 286:             8            576  org.apache.jena.iri.impl.LexerHost
 287:             8            576  org.apache.jena.iri.impl.LexerPath
 288:             8            576  org.apache.jena.iri.impl.LexerPort
 289:             8            576  org.apache.jena.iri.impl.LexerQuery
 290:             8            576  org.apache.jena.iri.impl.LexerScheme
 291:             8            576  org.apache.jena.iri.impl.LexerUserinfo
 292:            18            576  org.apache.jena.iri.impl.ViolationCodeInfo$FromSpec_scheme
 293:            18            576  org.apache.jena.mem.NodeToTriplesMapMem
 294:            35            560  ch.qos.logback.core.joran.spi.ElementSelector
 295:            14            560  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.17)
 296:            14            560  java.lang.invoke.DirectMethodHandle$Special (java.base@17.0.17)
 297:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.17)
 298:             7            560  org.apache.jena.iri.IRIFactory
 299:            10            560  sun.invoke.util.Wrapper (java.base@17.0.17)
 300:            23            552  java.util.regex.Pattern$CharPropertyGreedy (java.base@17.0.17)
 301:            17            544  java.util.ImmutableCollections$MapN (java.base@17.0.17)
 302:            17            544  sun.security.ssl.CipherSuite$KeyExchange (java.base@17.0.17)
 303:            17            544  sun.security.x509.DistributionPoint (java.base@17.0.17)
 304:             1            528  [Ljava.lang.Character; (java.base@17.0.17)
 305:            11            528  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@17.0.17)
 306:            22            528  jdk.internal.util.jar.JarIndex (java.base@17.0.17)
 307:            13            520  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.17)
 308:             8            512  com.sun.security.sasl.Provider$ProviderService (java.security.sasl@17.0.17)
 309:            16            512  java.time.temporal.ChronoUnit (java.base@17.0.17)
 310:            16            512  java.util.regex.Pattern$Curly (java.base@17.0.17)
 311:            21            504  java.time.Duration (java.base@17.0.17)
 312:             9            504  java.util.Properties (java.base@17.0.17)
 313:             9            504  org.apache.jena.iri.impl.IRIImpl
 314:            21            504  sun.security.x509.AVAKeyword (java.base@17.0.17)
 315:             7            496  [Lsun.invoke.util.Wrapper; (java.base@17.0.17)
 316:            31            496  java.util.LinkedHashMap$LinkedEntrySet (java.base@17.0.17)
 317:            19            488  [Lsun.security.ssl.NamedGroup$NamedGroupSpec; (java.base@17.0.17)
 318:            12            480  java.lang.OutOfMemoryError (java.base@17.0.17)
 319:            15            480  java.lang.invoke.VarForm (java.base@17.0.17)
 320:            15            480  java.net.InetAddress$InetAddressHolder (java.base@17.0.17)
 321:            20            480  java.security.BasicPermissionCollection (java.base@17.0.17)
 322:            20            480  java.security.SecurityPermission (java.base@17.0.17)
 323:            15            480  java.security.cert.PolicyQualifierInfo (java.base@17.0.17)
 324:            15            480  sun.security.x509.CertificatePoliciesExtension (java.base@17.0.17)
 325:            30            480  sun.security.x509.GeneralNames (java.base@17.0.17)
 326:            29            464  org.apache.jena.sparql.function.FunctionCastXSD
 327:            19            456  java.util.regex.Pattern$Start (java.base@17.0.17)
 328:             3            456  sun.security.ssl.SSLSessionImpl (java.base@17.0.17)
 329:             7            448  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLL (java.base@17.0.17)
 330:             8            448  org.apache.jena.iri.impl.Specification
 331:            11            440  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@17.0.17)
 332:             1            432  [[[C (java.base@17.0.17)
 333:            27            432  ch.qos.logback.core.model.processor.AllowModelFilter
 334:            27            432  java.security.spec.ECFieldFp (java.base@17.0.17)
 335:            27            432  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@17.0.17)
 336:            27            432  sun.security.x509.DNSName (java.base@17.0.17)
 337:            18            432  sun.security.x509.PolicyInformation (java.base@17.0.17)
 338:             1            424  [Lorg.apache.jena.ext.xerces.util.SymbolHash$Entry;
 339:            26            416  java.util.concurrent.locks.ReentrantLock (java.base@17.0.17)
 340:            13            416  jdk.internal.loader.NativeLibraries (java.base@17.0.17)
 341:             4            416  org.apache.jena.ext.xerces.impl.dv.xs.AbstractDateTimeDV$DateTimeData
 342:            13            416  org.xml.sax.helpers.LocatorImpl (java.xml@17.0.17)
 343:            13            416  sun.security.jca.ProviderConfig (java.base@17.0.17)
 344:            13            416  sun.security.x509.CRLDistributionPointsExtension (java.base@17.0.17)
 345:            17            408  java.lang.NamedPackage (java.base@17.0.17)
 346:            17            408  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@17.0.17)
 347:            17            408  java.util.regex.Pattern$SliceI (java.base@17.0.17)
 348:             1            408  jdk.internal.net.http.HttpClientImpl$SelectorManager (java.net.http@17.0.17)
 349:            17            408  sun.nio.ch.OptionKey (java.base@17.0.17)
 350:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@17.0.17)
 351:            12            400  [Ljava.lang.constant.ClassDesc; (java.base@17.0.17)
 352:             6            400  [S (java.base@17.0.17)
 353:            25            400  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.17)
 354:            25            400  java.util.LinkedHashSet (java.base@17.0.17)
 355:             8            384  [Lorg.apache.jena.iri.impl.Lexer;
 356:            12            384  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.17)
 357:             8            384  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.17)
 358:            16            384  java.util.jar.Manifest (java.base@17.0.17)
 359:            12            384  jdk.internal.net.http.hpack.IntegerWriter (java.net.http@17.0.17)
 360:            12            384  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.17)
 361:             8            384  jdk.xml.internal.JdkProperty$ImplPropMap (java.xml@17.0.17)
 362:            12            384  org.glassfish.json.JsonTokenizer$JsonToken
 363:            16            384  sun.security.x509.Extension (java.base@17.0.17)
 364:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.17)
 365:             1            376  java.util.logging.LogManager$Cleaner (java.logging@17.0.17)
 366:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.17)
 367:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.17)
 368:             9            360  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit (java.xml@17.0.17)
 369:            15            360  sun.security.util.DisabledAlgorithmConstraints$DisabledConstraint (java.base@17.0.17)
 370:            11            352  java.lang.constant.DirectMethodHandleDesc$Kind (java.base@17.0.17)
 371:             6            336  java.nio.DirectLongBufferU (java.base@17.0.17)
 372:             1            336  java.util.concurrent.ForkJoinPool (java.base@17.0.17)
 373:            21            336  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.17)
 374:            14            336  java.util.regex.Pattern$CharProperty (java.base@17.0.17)
 375:             7            336  jdk.internal.net.http.hpack.QuickHuffman$Writer (java.net.http@17.0.17)
 376:            10            320  com.sun.org.apache.xerces.internal.impl.XMLEntityManager$EncodingInfo (java.xml@17.0.17)
 377:             8            320  java.io.FilePermission (java.base@17.0.17)
